################################################################################
# Collectl:   V4.3.0-1  HiRes: 1  Options: -sCDnfM -omT --dskopts z --cpuopts z -i 1 --sep , -P -f ./logs --procfilt P p 
# Host:       math-cont  DaemonOpts: 
# Booted:     1572467438.76 [20191030-20:30:38]
# Distro:     CentOS Linux release 7.7.1908 (Core)  Platform: 
# Date:       20191218-211434  Secs: 1576703674 TZ: +0000
# SubSys:     CDnfM Options: mT Interval: 1 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.994 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.10.0-957.12.2.el7.x86_64  Memory: 7493216 kB  Swap: 0 kB
# NumDisks:   2 DiskNames: vda vdb
# NumNets:    2 NetNames: eth0:?? lo:??
################################################################################
#Date,Time,[CPU:0]User%,[CPU:0]Nice%,[CPU:0]Sys%,[CPU:0]Wait%,[CPU:0]Irq%,[CPU:0]Soft%,[CPU:0]Steal%,[CPU:0]Idle%,[CPU:0]Totl%,[CPU:0]Guest%,[CPU:0]GuestN%,[CPU:0]Intrpt
20191218,21:14:36.001,39,0,21,23,0,2,0,14,62,0,0,0
20191218,21:14:37.001,5,0,18,0,0,3,4,71,29,0,0,0
20191218,21:14:38.001,32,0,21,3,0,2,2,40,57,0,0,0
20191218,21:14:39.002,75,0,11,4,0,1,0,9,87,0,0,0
20191218,21:14:40.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:14:41.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:14:42.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:14:43.002,87,0,7,0,0,0,0,6,94,0,0,0
20191218,21:14:44.002,83,0,8,3,0,0,0,6,91,0,0,0
20191218,21:14:45.002,95,0,1,0,0,0,4,0,100,0,0,0
20191218,21:14:46.002,92,0,3,0,0,0,5,0,100,0,0,0
20191218,21:14:47.002,90,0,4,0,0,0,0,6,94,0,0,0
20191218,21:14:48.002,85,0,9,2,0,0,0,4,94,0,0,0
20191218,21:14:49.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:14:50.002,87,0,8,0,0,0,4,1,99,0,0,0
20191218,21:14:51.006,79,0,7,9,0,0,0,5,86,0,0,0
20191218,21:14:52.002,93,0,3,0,0,0,4,0,100,0,0,0
20191218,21:14:53.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:14:54.002,86,0,6,0,0,0,0,8,92,0,0,0
20191218,21:14:55.002,80,0,7,8,0,1,0,4,88,0,0,0
20191218,21:14:56.002,94,0,1,0,0,0,5,0,100,0,0,0
20191218,21:14:57.002,89,0,6,0,0,0,3,2,98,0,0,0
20191218,21:14:58.008,78,0,6,6,0,0,0,10,84,0,0,0
20191218,21:14:59.002,92,0,4,0,0,0,4,0,100,0,0,0
20191218,21:15:00.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:01.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:02.002,89,0,6,0,0,0,5,0,100,0,0,0
20191218,21:15:03.002,94,0,1,0,0,0,0,5,95,0,0,0
20191218,21:15:04.002,77,0,10,5,0,0,0,8,87,0,0,0
20191218,21:15:05.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:06.002,94,0,1,0,0,0,5,0,100,0,0,0
20191218,21:15:07.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:08.002,88,0,7,0,0,0,1,4,96,0,0,0
20191218,21:15:09.002,72,0,8,5,0,1,0,14,81,0,0,0
20191218,21:15:10.002,94,0,2,0,0,0,4,0,100,0,0,0
20191218,21:15:11.002,94,0,1,0,0,0,5,0,100,0,0,0
20191218,21:15:12.002,84,0,5,0,0,0,0,11,89,0,0,0
20191218,21:15:13.002,84,0,7,6,0,0,0,3,91,0,0,0
20191218,21:15:14.002,93,0,2,0,0,0,5,0,100,0,0,0
20191218,21:15:15.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:16.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:17.002,88,0,7,0,0,0,0,5,95,0,0,0
20191218,21:15:18.002,72,0,7,8,0,0,0,13,79,0,0,0
20191218,21:15:19.002,94,0,2,0,0,0,4,0,100,0,0,0
20191218,21:15:20.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:21.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:22.002,85,0,8,0,0,0,0,7,93,0,0,0
20191218,21:15:23.001,90,0,0,2,0,0,0,8,90,0,0,0
20191218,21:15:24.005,83,0,11,5,0,0,0,1,94,0,0,0
20191218,21:15:25.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:26.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:27.002,94,0,1,0,0,0,5,0,100,0,0,0
20191218,21:15:28.002,90,0,6,0,0,0,2,2,98,0,0,0
20191218,21:15:29.002,78,0,6,5,0,0,0,11,84,0,0,0
20191218,21:15:30.002,93,0,2,0,0,0,5,0,100,0,0,0
20191218,21:15:31.002,89,0,6,0,0,0,5,0,100,0,0,0
20191218,21:15:32.001,92,0,2,1,0,0,0,5,94,0,0,0
20191218,21:15:33.002,88,0,7,3,0,1,1,0,97,0,0,0
20191218,21:15:34.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:35.009,87,0,8,0,0,0,2,3,97,0,0,0
20191218,21:15:36.002,86,0,7,3,0,0,0,4,93,0,0,0
20191218,21:15:37.002,93,0,2,0,0,0,5,0,100,0,0,0
20191218,21:15:38.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:39.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:40.002,87,0,8,0,0,0,2,3,97,0,0,0
20191218,21:15:41.002,78,0,7,8,0,0,0,7,85,0,0,0
20191218,21:15:42.009,94,0,1,0,0,0,5,0,100,0,0,0
20191218,21:15:43.009,93,0,2,0,0,0,5,0,100,0,0,0
20191218,21:15:44.002,90,0,6,0,0,0,2,2,98,0,0,0
20191218,21:15:45.002,81,0,10,5,0,0,0,4,91,0,0,0
20191218,21:15:46.009,96,0,0,0,0,0,4,0,100,0,0,0
20191218,21:15:47.009,89,0,6,0,0,0,3,2,98,0,0,0
20191218,21:15:48.002,85,0,7,4,0,0,0,4,92,0,0,0
20191218,21:15:49.009,94,0,2,0,0,0,4,0,100,0,0,0
20191218,21:15:50.009,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:51.010,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:15:52.002,88,0,7,0,0,0,2,3,97,0,0,0
20191218,21:15:53.001,92,0,0,2,0,1,5,0,98,0,0,0
20191218,21:15:54.003,79,0,8,4,0,0,0,9,87,0,0,0
20191218,21:15:55.008,96,0,0,0,0,0,4,0,100,0,0,0
20191218,21:15:56.002,88,0,7,0,0,0,2,3,97,0,0,0
20191218,21:15:57.002,81,0,6,7,0,0,0,6,87,0,0,0
20191218,21:15:58.009,93,0,2,0,0,0,5,0,100,0,0,0
20191218,21:15:59.009,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:00.009,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:01.002,88,0,7,0,0,0,2,3,97,0,0,0
20191218,21:16:02.001,81,0,5,4,0,0,0,10,86,0,0,0
20191218,21:16:03.002,94,0,4,1,0,0,1,0,99,0,0,0
20191218,21:16:04.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:05.002,89,0,6,0,0,0,3,2,98,0,0,0
20191218,21:16:06.002,84,0,8,4,0,0,0,4,92,0,0,0
20191218,21:16:07.002,95,0,1,0,0,0,4,0,100,0,0,0
20191218,21:16:08.002,88,0,7,0,0,0,0,5,95,0,0,0
20191218,21:16:09.002,88,0,4,2,0,0,0,6,92,0,0,0
20191218,21:16:10.002,88,0,6,4,0,1,0,1,95,0,0,0
20191218,21:16:11.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:12.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:13.002,91,0,4,0,0,0,5,0,100,0,0,0
20191218,21:16:14.009,93,0,2,0,0,0,3,2,98,0,0,0
20191218,21:16:15.002,81,0,8,4,0,0,0,7,89,0,0,0
20191218,21:16:16.002,93,0,2,0,0,0,5,0,100,0,0,0
20191218,21:16:17.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:18.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:19.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:20.011,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:21.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:22.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:23.002,86,0,10,0,0,0,0,4,96,0,0,0
20191218,21:16:24.019,77,0,6,8,0,0,0,9,83,0,0,0
20191218,21:16:25.002,92,0,3,0,0,0,5,0,100,0,0,0
20191218,21:16:26.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:27.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:28.002,89,0,6,0,0,0,5,0,100,0,0,0
20191218,21:16:29.002,93,0,2,0,0,0,1,4,96,0,0,0
20191218,21:16:30.002,76,0,8,6,0,1,0,9,85,0,0,0
20191218,21:16:31.002,96,0,0,0,0,0,4,0,100,0,0,0
20191218,21:16:32.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:33.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:34.002,87,0,7,0,0,0,2,4,96,0,0,0
20191218,21:16:35.002,80,0,8,6,0,0,0,6,88,0,0,0
20191218,21:16:36.002,94,0,2,0,0,0,4,0,100,0,0,0
20191218,21:16:37.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:38.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:39.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:40.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:41.002,87,0,7,0,0,0,2,4,96,0,0,0
20191218,21:16:42.002,79,0,8,5,0,0,0,8,87,0,0,0
20191218,21:16:43.002,94,0,2,0,0,0,4,0,100,0,0,0
20191218,21:16:44.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:45.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:46.002,87,0,7,0,0,0,4,2,98,0,0,0
20191218,21:16:47.001,82,0,5,2,0,0,0,11,87,0,0,0
20191218,21:16:48.009,92,0,4,4,0,0,0,0,96,0,0,0
20191218,21:16:49.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:50.002,95,0,0,0,0,0,5,0,100,0,0,0
20191218,21:16:51.002,92,0,3,0,0,0,5,0,100,0,0,0
20191218,21:16:52.002,91,0,4,0,0,0,0,5,95,0,0,0
20191218,21:16:53.002,82,0,7,7,0,1,0,3,90,0,0,0
20191218,21:16:54.002,93,0,2,0,0,0,5,0,100,0,0,0
20191218,21:16:55.002,88,0,7,0,0,0,5,0,100,0,0,0
20191218,21:16:56.002,92,0,1,0,0,0,0,7,93,0,0,0
20191218,21:16:57.002,79,0,8,6,0,0,0,7,87,0,0,0
