################################################################################
# Collectl:   V4.3.0-1  HiRes: 1  Options: -sCDnfM -omT --dskopts z --cpuopts z -i 1 --sep , -P -f ./logs --procfilt P p 
# Host:       math-cont  DaemonOpts: 
# Booted:     1572467438.76 [20191030-20:30:38]
# Distro:     CentOS Linux release 7.7.1908 (Core)  Platform: 
# Date:       20191218-211434  Secs: 1576703674 TZ: +0000
# SubSys:     CDnfM Options: mT Interval: 1 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.994 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.10.0-957.12.2.el7.x86_64  Memory: 7493216 kB  Swap: 0 kB
# NumDisks:   2 DiskNames: vda vdb
# NumNets:    2 NetNames: eth0:?? lo:??
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20191218,21:14:36.001,1050728,6813048,46108,46580,119756,16384,412248,100.00
20191218,21:14:37.001,1063568,6800208,48668,46668,121648,16384,412228,100.00
20191218,21:14:38.001,1047356,6816420,55348,36768,89948,18432,419108,100.00
20191218,21:14:39.002,1177880,6685896,55628,38032,146056,69632,467976,100.00
20191218,21:14:40.002,1149808,6713968,55632,38044,141324,63488,467976,100.00
20191218,21:14:41.002,1151792,6711984,55632,38048,143236,63488,467976,100.00
20191218,21:14:42.002,1151792,6711984,55632,38048,143236,63488,467976,100.00
20191218,21:14:43.002,1225452,6638324,55632,38168,215392,131072,469348,100.00
20191218,21:14:44.002,1161084,6702692,55864,37936,113056,38912,481540,100.00
20191218,21:14:45.002,1164556,6699220,55864,38040,141332,63488,481532,100.00
20191218,21:14:46.002,1213764,6650012,55864,38128,147472,63488,481532,100.00
20191218,21:14:47.002,1240016,6623760,55864,38160,215320,133120,483436,100.00
20191218,21:14:48.002,1178980,6684796,55912,38032,161800,83968,494756,100.00
20191218,21:14:49.002,1178980,6684796,55912,38044,141332,63488,494756,100.00
20191218,21:14:50.002,1253324,6610452,55912,38164,215320,133120,495528,100.00
20191218,21:14:51.006,1150788,6712988,55916,37936,89600,16384,505772,100.00
20191218,21:14:52.002,1193520,6670256,55940,38040,141336,63488,509484,100.00
20191218,21:14:53.002,1193520,6670256,55940,38040,141336,63488,509484,100.00
20191218,21:14:54.002,1268360,6595416,55940,38160,215324,133120,510692,100.00
20191218,21:14:55.002,1206716,6657060,55972,38000,139708,63488,523924,100.00
20191218,21:14:56.002,1208308,6655468,55972,38040,141344,63488,523916,100.00
20191218,21:14:57.002,1281908,6581868,55972,38160,215304,133120,523916,100.00
20191218,21:14:58.008,1181144,6682632,56016,37920,89576,16384,534140,100.00
20191218,21:14:59.002,1223476,6640300,56040,38040,141344,63488,538972,100.00
20191218,21:15:00.002,1223476,6640300,56040,38040,141344,63488,538972,100.00
20191218,21:15:01.002,1225336,6638440,56040,38044,143256,63488,538972,100.00
20191218,21:15:02.002,1248932,6614844,56040,38116,174396,92160,538972,100.00
20191218,21:15:03.002,1299384,6564392,56040,38164,215408,131072,541128,100.00
20191218,21:15:04.002,1256028,6607748,56056,38024,141916,63488,554952,100.00
20191218,21:15:05.002,1238652,6625124,56056,38044,141344,63488,554952,100.00
20191218,21:15:06.002,1240636,6623140,56056,38048,143256,63488,554952,100.00
20191218,21:15:07.002,1240636,6623140,56056,38048,143256,63488,554952,100.00
20191218,21:15:08.002,1314552,6549224,56064,38168,215408,131072,556216,100.00
20191218,21:15:09.002,1250844,6612932,56132,37936,114008,40960,570980,100.00
20191218,21:15:10.002,1255184,6608592,56132,38044,141352,63488,570980,100.00
20191218,21:15:11.002,1303836,6559940,56132,38132,145380,63488,570980,100.00
20191218,21:15:12.002,1330396,6533380,56132,38164,215340,133120,572520,100.00
20191218,21:15:13.002,1267152,6596624,56264,38012,139720,63488,583996,100.00
20191218,21:15:14.002,1268764,6595012,56264,38044,141352,63488,583988,100.00
20191218,21:15:15.002,1270624,6593152,56264,38048,143268,63488,583988,100.00
20191218,21:15:16.002,1270624,6593152,56264,38048,143272,63488,583988,100.00
20191218,21:15:17.002,1343416,6520360,56264,38168,215428,131072,584884,100.00
20191218,21:15:18.002,1280700,6583076,56228,37936,115064,40960,599508,100.00
20191218,21:15:19.002,1284172,6579604,56228,38044,141368,63488,599500,100.00
20191218,21:15:20.002,1286032,6577744,56228,38044,143304,63488,599500,100.00
20191218,21:15:21.002,1286032,6577744,56228,38048,143280,63488,599500,100.00
