################################################################################
# Collectl:   V4.3.0-1  HiRes: 1  Options: -sCDnfM -omT --dskopts z --cpuopts z -i 1 --sep , -P -f ./logs --procfilt P p 
# Host:       math-cont  DaemonOpts: 
# Booted:     1572467438.76 [20191030-20:30:38]
# Distro:     CentOS Linux release 7.7.1908 (Core)  Platform: 
# Date:       20191218-211434  Secs: 1576703674 TZ: +0000
# SubSys:     CDnfM Options: mT Interval: 1 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.994 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.10.0-957.12.2.el7.x86_64  Memory: 7493216 kB  Swap: 0 kB
# NumDisks:   2 DiskNames: vda vdb
# NumNets:    2 NetNames: eth0:?? lo:??
################################################################################
#Date,Time,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[NFS]ReadsS,[NFS]WritesS,[NFS]MetaS,[NFS]CommitS,[NFS]Udp,[NFS]Tcp,[NFS]TcpConn,[NFS]BadAuth,[NFS]BadClient,[NFS]ReadsC,[NFS]WritesC,[NFS]MetaC,[NFS]CommitC,[NFS]Retrans,[NFS]AuthRef
20191218,21:14:36.001,3181,3274,106480,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,1114,0,0,1658
20191218,21:14:37.001,6162,6159,1995,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6156,0,0,6156
20191218,21:14:38.001,4775,5208,9210,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,3803,0,0,4611
20191218,21:14:39.002,1164,1018,45731,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,5,0,0,490
20191218,21:14:40.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:41.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:42.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:43.002,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:14:44.002,266,302,11238,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,8,1,0,42
20191218,21:14:45.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:46.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:47.002,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:14:48.002,257,302,12317,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,6,1,0,32
20191218,21:14:49.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:50.002,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:14:51.006,209,241,8400,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,6,1,0,29
20191218,21:14:52.002,60,43,3697,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
20191218,21:14:53.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:54.002,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:14:55.002,255,252,12351,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,6,1,0,33
20191218,21:14:56.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:14:57.002,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:14:58.008,188,216,8381,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,6,1,0,28
20191218,21:14:59.002,76,79,4804,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
20191218,21:15:00.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:01.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:02.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:03.002,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:15:04.002,285,320,13660,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,6,1,0,35
20191218,21:15:05.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:06.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:07.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:08.002,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:15:09.002,288,293,13488,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,8,1,0,36
20191218,21:15:10.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:11.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:12.002,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:15:13.002,237,283,10556,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,8,1,0,34
20191218,21:15:14.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:15.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:16.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:17.002,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:15:18.002,279,288,13342,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,7,1,0,35
20191218,21:15:19.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:20.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:21.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,21:15:22.002,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
20191218,21:15:23.001,39,82,3,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4
